التغيرات المناخية وأثرها في التنمية الزراعية المستدامة,حنان عبد الخضر هاشم,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=egb300989-5321262&search=books,https://www.neelwafurat.com/images/eg/abookstore/covers/carton/300/300989.jpg,"",المركز الأكاديمي للنشر والتوزيع,978992226348,4,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
الزراعة والمياه,عماد محمد الحفيظ,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=lbb396749-394723&search=books,https://www.neelwafurat.com/images/lb/abookstore/covers/normal/396/396749.jpg,"",الدار المنهجية للنشر والتوزيع,9789923201909,6,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
التحول نحو الزراعة المستدامة وتأمين الغذاء في الجزائر,محمد مصطفى سالت,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=lbb408867-408036&search=books,https://www.neelwafurat.com/images/lb/abookstore/covers/carton/408/408867.jpg,"",دار الأيام للنشر والتوزيع,9789923521939,10,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
أصول الزراعة العضوية ما لها وما عليها,أحمد عبد المنعم حسن,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=egb157998-5170717&search=books,https://www.neelwafurat.com/images/eg/abookstore/covers/normal/157/157998.jpg,"",الدار العربية للنشر والتوزيع,9772583895,4,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
الجرار الزراعي,محمد أحمد عبد المولي أحمد,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=egb287972-5306920&search=books,https://www.neelwafurat.com/images/nopic5.gif,"",الدولية للكتب العلمية,9789776676862,4,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
الطاقة النظيفة والمتجددة واتجاه الدول للاعتماد عليها كمصدر للطاقة,أحمد السروى,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=egb287936-5306881&search=books,https://www.neelwafurat.com/images/eg/abookstore/covers/normal/287/287936.jpg,"",الدولية للكتب العلمية,9789776676589,4,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
التنمية المستدامة وحماية البيئة,أحمد السروى,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=egb287934-5306882&search=books,https://www.neelwafurat.com/images/eg/abookstore/covers/normal/287/287934.jpg,"",الدولية للكتب العلمية,9789776676626,4,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
تطبيقات تقانة النانو ودورها في الزراعة المستدامة الفوائد والتحديات,باسم كسار حسن,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=lbb400973-399649&search=books,https://www.neelwafurat.com/images/nopic5.gif,"",مؤسسة دار الصادق الثقافية,9789922683461,6,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
واقع الأمن الغذائي في الوطن العربي وآفاق تنميته,عادل سيد أحمد البربري، أحمد علام فتحي عيسى,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=egb278310-5296287&search=books,https://www.neelwafurat.com/images/eg/abookstore/covers/normal/278/278310.jpg,"",دار الحكمة للطباعة والنشر والتوزيع,9789777283793,5,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
إدارة المشروعات الإنتاجية الزراعية والأمن الغذائي بين النظرية والتطبيق,على يوسف خليفه,إقتصاد وتنمية زراعية,https://www.neelwafurat.com/itempage.aspx?id=egb272426-5290026&search=books,https://www.neelwafurat.com/images/nopic5.gif,"",دار فاروس العلمية,9789776773107,5,https://www.neelwafurat.com/browse1.aspx?ddmsubject=09&subcat=02&search=books
